id,index,ret_subj,ploss_subj,avgloss_subj,exploss_subj,glscore_calc,experience_stockmarket_subj,experience_swiss_stockmarket_subj,knowledge_stockmarket_subj,knowledge_swiss_stockmarket_subj,num_investments_subj,mroi_obj,var_obj,avgloss_obj,ploss_obj,maxloss_obj,evloss_x_ploss_obj,quest,perceived
160,ABBN,6,40,20,0,9,3,1,3,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
162,ABBN,3,5,25,5,9,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
163,ABBN,6,10,35,10,10,3,1,2,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,5
164,ABBN,6,40,40,40,10,1,1,3,1,1,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
166,ABBN,5,85,50,20,10,1,1,3,2,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
167,ABBN,7,37,16,21,13,2,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
168,ABBN,5,20,20,25,10,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
169,ABBN,1,30,40,70,10,1,1,1,1,0,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,6
170,ABBN,6,90,40,60,9,2,3,3,3,2,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
172,ABBN,6,45,10,60,9,4,1,4,2,15,0.144191579642857,0.229924932522747,0.319993293,0.357142857142857,0.097385032,0.114283318928571,Fluctuation,7
