id;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;;code;name_EN;name_GER
105;0;0;0;0;1;0;0;0;0;0;0;0;;;;
106;0;0;0;0;0;1;0;1;0;0;0;0;;;;
108;0;1;0;0;0;1;0;0;0;0;0;0;;;;
109;0;0;0;0;0;1;0;0;0;0;0;0;;;;
110;0;0;0;1;0;0;0;0;0;0;0;0;;;;
112;0;0;0;0;0;1;0;1;0;0;0;0;;;;
113;0;0;0;0;0;0;0;0;0;0;0;1;;;;
114;0;0;0;1;0;0;0;1;0;0;0;0;;;;
116;0;1;0;0;0;0;0;0;0;0;0;0;;;;
120;0;0;0;0;0;0;1;0;0;0;0;0;;;;
123;1;0;0;1;0;0;0;0;0;0;0;0;;;;
126;0;0;0;1;0;0;0;0;0;0;0;0;;;;
129;0;0;0;1;0;0;0;0;0;0;0;0;;;;
130;0;0;1;0;0;0;0;0;0;0;0;0;;;;
131;0;0;0;0;0;0;0;0;0;0;0;1;;;;
134;1;0;1;0;0;0;0;0;0;0;0;0;;;;
135;0;0;0;0;0;0;0;0;0;0;0;1;;;;
136;1;1;0;1;0;0;0;0;0;0;0;0;;;;
138;0;0;0;0;0;1;0;0;0;0;0;0;;;;
139;0;1;0;0;0;0;0;0;0;0;0;0;;;;
140;0;0;0;0;1;0;0;0;0;1;0;0;;;;
143;0;1;0;1;0;0;0;1;0;0;0;0;;;;
144;0;0;1;0;0;0;0;0;0;0;0;0;;;;
145;0;0;0;1;0;0;0;0;0;0;0;0;;;;
149;1;0;1;0;0;0;1;0;0;0;0;0;;;;
150;0;0;0;0;0;0;0;0;0;0;0;1;;;;
151;0;0;1;0;0;0;0;0;0;0;0;0;;;;
153;0;1;0;0;1;0;0;0;0;0;0;0;;;;
154;1;0;0;0;0;1;0;0;0;0;0;0;;;;
156;0;1;0;0;0;1;0;0;0;0;0;0;;;;
158;0;0;0;1;0;1;0;0;0;1;0;0;;;;
162;0;0;0;1;0;0;0;1;0;0;0;0;;;;
163;1;0;0;0;0;0;0;0;0;0;0;0;;;;
164;0;0;0;1;0;0;0;0;0;0;0;0;;;;
165;0;0;0;1;0;0;0;1;0;0;0;0;;;;
167;0;0;0;0;0;0;0;1;0;0;0;0;;;;
168;0;0;1;0;0;0;0;0;0;0;0;0;;;;
169;1;1;0;0;0;0;0;0;0;0;0;0;;;;
170;0;0;0;0;0;0;0;0;1;0;0;0;;;;
172;0;0;0;0;0;0;1;0;0;0;0;0;;;;
176;0;0;0;0;0;1;0;0;0;0;0;0;;;;
179;1;1;0;0;0;0;0;0;0;0;0;0;;;;
180;0;0;0;0;0;0;0;0;0;0;0;1;;;;
182;0;0;1;0;0;0;0;0;0;0;0;0;;;;
184;0;0;1;0;0;0;0;0;0;0;0;0;;;;
186;0;0;1;0;0;0;0;0;0;0;0;0;;;;
187;0;1;0;1;0;0;0;1;0;0;0;0;;;;
189;0;0;0;0;1;0;0;0;1;0;0;0;;;;
190;0;0;0;1;0;0;0;1;0;0;0;0;;;;
191;1;0;0;0;0;1;0;0;0;0;0;0;;;;
