"firm","year","date","ROIyearly","ROIyearly2","uniparkorder","i.uniparkorder"
"NovartisN",2005,2005-06-01,0.206445993031359,0.206445993031359,9,9
"NovartisN",2006,2006-06-01,0.0252707581227437,0.0252707581227437,9,9
"NovartisN",2007,2007-06-01,-0.135211267605634,-0.135211267605634,9,9
"NovartisN",2008,2008-06-01,-0.116449511400651,-0.116449511400651,9,9
"NovartisN",2009,2009-06-01,0.00460829493087558,0.00460829493087558,9,9
"NovartisN",2010,2010-06-01,-0.0168439716312056,-0.0168439716312056,9,9
"NovartisN",2011,2011-06-01,-0.015426497277677,-0.015426497277677,9,9
"NovartisN",2012,2012-06-01,0.0783410138248848,0.0783410138248848,9,9
"NovartisN",2013,2013-06-01,0.209401709401709,0.209401709401709,9,9
"NovartisN",2014,2014-06-01,0.306713780918728,0.306713780918728,9,9
"NovartisN",2015,2015-06-01,-0.0735532720389399,-0.0735532720389399,9,9
"RichemontN",2003,2003-06-01,0.0848979591836734,0.0848979591836734,10,10
"RichemontN",2004,2004-06-01,0.237020316027088,0.237020316027088,10,10
"RichemontN",2005,2005-06-01,0.528700906344411,0.528700906344411,10,10
"RichemontN",2006,2006-06-01,0.269169960474308,0.269169960474308,10,10
"RichemontN",2007,2007-06-01,0.0401744004982871,0.0401744004982871,10,10
"RichemontN",2008,2008-06-01,-0.37185628742515,-0.37185628742515,10,10
"RichemontN",2009,2009-06-01,0.698760724499523,0.698760724499523,10,10
"RichemontN",2010,2010-06-01,0.598513011152416,0.598513011152416,10,10
"RichemontN",2011,2011-06-01,-0.11070780399274,-0.11070780399274,10,10
"RichemontN",2012,2012-06-01,0.530612244897959,0.530612244897959,10,10
"RichemontN",2013,2013-06-01,0.173333333333333,0.173333333333333,10,10
"RichemontN",2014,2014-06-01,0.0051136363636364,0.0051136363636364,10,10
"RichemontN",2015,2015-06-01,-0.210288298473714,-0.210288298473714,10,10
"RocheHldgDR",2003,2003-06-01,0.267676767676768,0.267676767676768,11,11
"RocheHldgDR",2004,2004-06-01,0.0438247011952191,0.0438247011952191,11,11
"RocheHldgDR",2005,2005-06-01,0.509146341463415,0.509146341463415,11,11
"RocheHldgDR",2006,2006-06-01,0.109090909090909,0.109090909090909,11,11
"RocheHldgDR",2007,2007-06-01,-0.1183970856102,-0.1183970856102,11,11
"RocheHldgDR",2008,2008-06-01,-0.138429752066116,-0.138429752066116,11,11
"RocheHldgDR",2009,2009-06-01,0.0845323741007194,0.0845323741007194,11,11
"RocheHldgDR",2010,2010-06-01,-0.22686230248307,-0.22686230248307,11,11
"RocheHldgDR",2011,2011-06-01,0.174545454545455,0.174545454545455,11,11
"RocheHldgDR",2012,2012-06-01,0.174613003095975,0.174613003095975,11,11
"RocheHldgDR",2013,2013-06-01,0.312071692145493,0.312071692145493,11,11
"RocheHldgDR",2014,2014-06-01,0.094817195660908,0.094817195660908,11,11
"RocheHldgDR",2015,2015-06-01,0.0168807339449542,0.0168807339449542,11,11
"SGSReg",2003,2003-06-01,0.794307771008696,0.794307771008696,12,12
"SGSReg",2004,2004-06-01,0.0573179897882487,0.0573179897882487,12,12
"SGSReg",2005,2005-06-01,0.388746185147508,0.388746185147508,12,12
"SGSReg",2006,2006-06-01,0.254452390326982,0.254452390326982,12,12
"SGSReg",2007,2007-06-01,-0.0153284671532847,-0.0153284671532847,12,12
"SGSReg",2008,2008-06-01,-0.140845070422535,-0.140845070422535,12,12
"SGSReg",2009,2009-06-01,0.183779119930975,0.183779119930975,12,12
"SGSReg",2010,2010-06-01,0.176470588235294,0.176470588235294,12,12
"SGSReg",2011,2011-06-01,0.0101845957988542,0.0101845957988542,12,12
"SGSReg",2012,2012-06-01,0.322621298046629,0.322621298046629,12,12
"SGSReg",2013,2013-06-01,-0.0242972844211529,-0.0242972844211529,12,12
"SGSReg",2014,2014-06-01,-0.01123046875,-0.01123046875,12,12
"SGSReg",2015,2015-06-01,-0.0735802469135802,-0.0735802469135802,12,12
"SwissLifeHldgN",2003,2003-06-01,0.974137931034483,0.974137931034483,13,13
"SwissLifeHldgN",2004,2004-06-01,-0.159849929269943,-0.159849929269943,13,13
"SwissLifeHldgN",2005,2005-06-01,0.459977367031309,0.459977367031309,13,13
"SwissLifeHldgN",2006,2006-06-01,0.312680859859446,0.312680859859446,13,13
"SwissLifeHldgN",2007,2007-06-01,-0.0520410975081683,-0.0520410975081683,13,13
"SwissLifeHldgN",2008,2008-06-01,-0.723433412233711,-0.723433412233711,13,13
"SwissLifeHldgN",2009,2009-06-01,0.920870870870871,0.920870870870871,13,13
"SwissLifeHldgN",2010,2010-06-01,0.0610607397897779,0.0610607397897779,13,13
"SwissLifeHldgN",2011,2011-06-01,-0.327165685449958,-0.327165685449958,13,13
"SwissLifeHldgN",2012,2012-06-01,0.406818181818182,0.406818181818182,13,13
"SwissLifeHldgN",2013,2013-06-01,0.476575121163167,0.476575121163167,13,13
"SwissLifeHldgN",2014,2014-06-01,0.289387308533917,0.289387308533917,13,13
"SwissLifeHldgN",2015,2015-06-01,0.141705557912601,0.141705557912601,13,13
"SwissReN",2003,2003-06-01,-0.128865979381443,-0.128865979381443,14,14
"SwissReN",2004,2004-06-01,-0.0331360946745562,-0.0331360946745562,14,14
"SwissReN",2005,2005-06-01,0.193865030674847,0.193865030674847,14,14
"SwissReN",2006,2006-06-01,0.0801644398766701,0.0801644398766701,14,14
"SwissReN",2007,2007-06-01,-0.23977164605138,-0.23977164605138,14,14
"SwissReN",2008,2008-06-01,-0.339799749687109,-0.339799749687109,14,14
"SwissReN",2009,2009-06-01,-0.028436018957346,-0.028436018957346,14,14
"SwissReN",2010,2010-06-01,0.035,0.035,14,14
"SwissReN",2011,2011-06-01,-0.029673590504451,-0.029673590504451,14,14
"SwissReN",2012,2012-06-01,0.376146788990826,0.376146788990826,14,14
"SwissReN",2013,2013-06-01,0.200740740740741,0.200740740740741,14,14
"SwissReN",2014,2014-06-01,0.0351634793337447,0.0351634793337447,14,14
"SwissReN",2015,2015-06-01,0.144815256257449,0.144815256257449,14,14
"SwisscomReg",2003,2003-06-01,0.037852805934507,0.037852805934507,15,15
"SwisscomReg",2004,2004-06-01,0.0961251315692851,0.0961251315692851,15,15
